Filename,Relative Frequency of NOUN,Relative Freqency of VERB,Relative Freqency ADJ,Relative Freqency ADV,Unique PER,Unique LOC,Unique ORG
1049.a4.txt,0.34464751958224543,0.3263707571801567,0.20365535248041775,0.12532637075718014,0,0,3
1050.a4.txt,0.3925233644859813,0.3052959501557632,0.19937694704049844,0.102803738317757,0,0,4
1052.a4.txt,0.38227146814404434,0.3157894736842105,0.17174515235457063,0.13019390581717452,0,0,1
1055.a4.txt,0.4207650273224044,0.28688524590163933,0.1721311475409836,0.12021857923497267,0,3,2
1057.a4.txt,0.38461538461538464,0.34739454094292804,0.1488833746898263,0.11910669975186104,0,0,24
1060.a4.txt,0.4217506631299735,0.23607427055702918,0.2572944297082228,0.08488063660477453,0,0,0
1061.a4.txt,0.4075067024128686,0.3297587131367292,0.1581769436997319,0.10455764075067024,0,0,4
1064.a4.txt,0.42757009345794394,0.2850467289719626,0.16822429906542055,0.1191588785046729,0,0,2
1065.a4.txt,0.36533957845433257,0.32786885245901637,0.19672131147540983,0.11007025761124122,0,0,1
1066.a4.txt,0.4604904632152589,0.25885558583106266,0.2016348773841962,0.07901907356948229,0,0,2
1067.a4.txt,0.4161490683229814,0.2857142857142857,0.17391304347826086,0.12422360248447205,0,5,0
1068.a4.txt,0.5329341317365269,0.23952095808383234,0.16766467065868262,0.059880239520958084,0,0,6
1070.a4.txt,0.34890965732087226,0.35202492211838005,0.10903426791277258,0.19003115264797507,0,0,5
1072.a4.txt,0.4314606741573034,0.2539325842696629,0.20224719101123595,0.11235955056179775,0,0,3
1074.a4.txt,0.3825,0.2875,0.205,0.125,0,0,3
1076.a4.txt,0.44556962025316454,0.3012658227848101,0.16962025316455695,0.08354430379746836,0,1,1
1077.a4.txt,0.43116883116883115,0.22857142857142856,0.2077922077922078,0.13246753246753246,0,0,6
1081.a4.txt,0.4427083333333333,0.3125,0.171875,0.07291666666666667,0,0,3
1088.a4.txt,0.38170347003154576,0.38170347003154576,0.13564668769716087,0.10094637223974763,0,0,1
1090.a4.txt,0.39759036144578314,0.3108433734939759,0.18313253012048192,0.10843373493975904,0,0,6
1094.a4.txt,0.33532934131736525,0.33532934131736525,0.16167664670658682,0.16766467065868262,0,2,1
1095.a4.txt,0.38746438746438744,0.2905982905982906,0.1737891737891738,0.14814814814814814,0,0,0
1098.a4.txt,0.39221556886227543,0.31137724550898205,0.15868263473053892,0.1377245508982036,0,0,5
1099.a4.txt,0.41274238227146814,0.3296398891966759,0.18559556786703602,0.07202216066481995,0,0,7
1100.a4.txt,0.39766081871345027,0.30994152046783624,0.17251461988304093,0.11988304093567251,0,0,23
1102.a4.txt,0.376657824933687,0.29442970822281167,0.21485411140583555,0.11405835543766578,0,1,6
1103.a4.txt,0.423728813559322,0.2853107344632768,0.1553672316384181,0.13559322033898305,0,0,7
1104.a4.txt,0.44808743169398907,0.27049180327868855,0.1885245901639344,0.09289617486338798,0,0,4
1112.a4.txt,0.3871794871794872,0.30512820512820515,0.1641025641025641,0.14358974358974358,0,0,1
1121.a4.txt,0.41626794258373206,0.2894736842105263,0.1507177033492823,0.14354066985645933,0,0,3
2000.a4.txt,0.46612466124661245,0.24932249322493225,0.16802168021680217,0.11653116531165311,0,0,2
2005.a4.txt,0.4295612009237875,0.2956120092378753,0.13394919168591224,0.14087759815242495,0,0,11
2007.a4.txt,0.4088235294117647,0.3235294117647059,0.13823529411764707,0.12941176470588237,0,1,17
2008.a4.txt,0.3423728813559322,0.31864406779661014,0.20677966101694914,0.13220338983050847,0,0,1
2011.a4.txt,0.46116504854368934,0.23786407766990292,0.20388349514563106,0.0970873786407767,0,0,2
2012.a4.txt,0.45161290322580644,0.2834101382488479,0.18433179723502305,0.08064516129032258,0,0,4
2014.a4.txt,0.38902743142144636,0.30423940149625933,0.19201995012468828,0.11471321695760599,0,0,1
2015.a4.txt,0.42485549132947975,0.28034682080924855,0.16184971098265896,0.1329479768786127,0,1,8
2017.a4.txt,0.4392764857881137,0.28165374677002586,0.165374677002584,0.11369509043927649,0,0,0
2018.a4.txt,0.4430051813471503,0.25906735751295334,0.18652849740932642,0.11139896373056994,0,0,3
2019.a4.txt,0.41388888888888886,0.34444444444444444,0.13055555555555556,0.1111111111111111,0,0,1
2020.a4.txt,0.3868194842406877,0.3495702005730659,0.15472779369627507,0.10888252148997135,0,0,1
2021.a4.txt,0.39669421487603307,0.35537190082644626,0.1322314049586777,0.11570247933884298,0,0,4
2022.a4.txt,0.4136690647482014,0.34532374100719426,0.14028776978417265,0.10071942446043165,0,0,2
2024.a4.txt,0.37047353760445684,0.3398328690807799,0.1532033426183844,0.13649025069637882,0,0,1
2028.a4.txt,0.4465174129353234,0.291044776119403,0.17288557213930347,0.08955223880597014,0,1,3
2030.a4.txt,0.391304347826087,0.35507246376811596,0.13526570048309178,0.11835748792270531,0,0,2
2031.a4.txt,0.4296675191815857,0.2659846547314578,0.17647058823529413,0.1278772378516624,0,0,8
2032.a4.txt,0.4504310344827586,0.28663793103448276,0.14655172413793102,0.11637931034482758,0,0,1
2034.a4.txt,0.41216216216216217,0.32207207207207206,0.13288288288288289,0.13288288288288289,0,0,27
